الجامعة,الدولة,المدينة
Islamic Azad University Nazarabad,"Iran, Islamic Republic of",Naz̧arābād
Islamic Azad University Neka,"Iran, Islamic Republic of",Nekā
Islamic Azad University Neyriz,"Iran, Islamic Republic of",Neyrīz
Islamic Azad University Osku,"Iran, Islamic Republic of",Osku
Islamic Azad University Parand,"Iran, Islamic Republic of",Parand
Islamic Azad University Pardis,"Iran, Islamic Republic of",Pardis
Islamic Azad University Parsabad Moghan,"Iran, Islamic Republic of",Pārsābād
Islamic Azad University Parsian,"Iran, Islamic Republic of",Parsian
Islamic Azad University Qaen,"Iran, Islamic Republic of",Qā’en
Islamic Azad University Qeshm,"Iran, Islamic Republic of",Qeshm
Islamic Azad University Qom,"Iran, Islamic Republic of",Qom
Islamic Azad University Rafsanjan,"Iran, Islamic Republic of",Rafsanjān
Islamic Azad University Ramhormoz,"Iran, Islamic Republic of",Rāmhormoz
Islamic Azad University Ramsar,"Iran, Islamic Republic of",Rāmsar
Islamic Azad University Roudsar & Amlash,"Iran, Islamic Republic of",Amlash
Islamic Azad University Salmas,"Iran, Islamic Republic of",Salmās
Islamic Azad University Sarab,"Iran, Islamic Republic of",Sarāb
Islamic Azad University Sardasht,"Iran, Islamic Republic of",Sardasht
Islamic Azad University Sarvestan,"Iran, Islamic Republic of",Sarvestān
Islamic Azad University Saveh,"Iran, Islamic Republic of",Sāveh
Islamic Azad University Semirom,"Iran, Islamic Republic of",Semīrom
Islamic Azad University Sepidan,"Iran, Islamic Republic of",Sepīdān
Islamic Azad University Shadegan,"Iran, Islamic Republic of",Shādegān
Islamic Azad University Shahinshahr,"Iran, Islamic Republic of",Shahin Shahr
Islamic Azad University Shahr e Babak,"Iran, Islamic Republic of",Shahr-e Bābak
Islamic Azad University Shahriar,"Iran, Islamic Republic of",Shahrīār
Islamic Azad University Shush,"Iran, Islamic Republic of",Shūsh
Islamic Azad University Sirjan,"Iran, Islamic Republic of",Sirjan
Islamic Azad University Tafresh,"Iran, Islamic Republic of",Tafresh
Islamic Azad University Taft,"Iran, Islamic Republic of",Taft
Islamic Azad University Talesh,"Iran, Islamic Republic of",Talesh
Islamic Azad University Taybad,"Iran, Islamic Republic of",Tāybād
Islamic Azad University Tehran Dental Sciences,"Iran, Islamic Republic of",Tehran
Islamic Azad University Torbat e Heydarieh,"Iran, Islamic Republic of",Torbat-e Ḩeydarīyeh
Islamic Azad University Tuyserkan,"Iran, Islamic Republic of",Tūyserkān
Islamic Azad University Zabol,"Iran, Islamic Republic of",Zābol
Islamic Azad University Zarand,"Iran, Islamic Republic of",Zarand
Jahrom University,"Iran, Islamic Republic of",Jahrom
Javed Institute of Jiroft,"Iran, Islamic Republic of",Jīroft
Jihad Kermanshah University,"Iran, Islamic Republic of",Kermanshah
Jihad Semnan University,"Iran, Islamic Republic of",Semnan
Jiroft University of Medical Sciences,"Iran, Islamic Republic of",Jiroft
Kashan University of Medical Sciences,"Iran, Islamic Republic of",Kashan
Kashmar Higher Education Center,"Iran, Islamic Republic of",Kashmar
Kashmar Jihad University.,"Iran, Islamic Republic of",Kāshmar
Kerman Institute of High Education,"Iran, Islamic Republic of",Kerman
Kerman Institute of Higher Education,"Iran, Islamic Republic of",Kerman
Kermanshah University of Technology,"Iran, Islamic Republic of",Kermanshah
Khalkhal University of Medical Sciences,"Iran, Islamic Republic of",Khalkhāl
Khayyam Institute of Higher Education Mashhad,"Iran, Islamic Republic of",Mashhad
Khoy School of Medical Sciences,"Iran, Islamic Republic of",Khoy
Khoy University,"Iran, Islamic Republic of",Khoy
Kurdistan University of Medical Sciences Sanandaj,"Iran, Islamic Republic of",Sanandaj
Lamerd Higher Education Center,"Iran, Islamic Republic of",Lamerd
Larestan University,"Iran, Islamic Republic of",Larestan
Lorestan University of Medical Sciences Khorramabad,"Iran, Islamic Republic of",Khorramabad
Mahallat Higher Education Center,"Iran, Islamic Republic of",Mahallat
Mamasani Higher Education Center,"Iran, Islamic Republic of",Mamasani
Maragheh University of Medical Sciences,"Iran, Islamic Republic of",Maragheh
Mashhad Institute of Higher Education,"Iran, Islamic Republic of",Mashhad
Meybod University,"Iran, Islamic Republic of",Meybod
Mirdamad University of Gorgan,"Iran, Islamic Republic of",Gorgān
Nahavand University,"Iran, Islamic Republic of",Nahāvand
Neyshabur University of Medical Sciences,"Iran, Islamic Republic of",Neyshābūr
Nooretouba Virtual University Tehran,"Iran, Islamic Republic of",Tehran
Pasargadae Institute of Higher Education in Shiraz,"Iran, Islamic Republic of",Shiraz
Payam Noor University Behshahr,"Iran, Islamic Republic of",Behshahr
Payam Noor University Bijar,"Iran, Islamic Republic of",Bījār
Payam Noor University Bonab,"Iran, Islamic Republic of",Bonāb
Payam Noor University Delijan,"Iran, Islamic Republic of",Delījān
Payam Noor University Garmsar,"Iran, Islamic Republic of",Garmsār
Payam Noor University Hashtrud,"Iran, Islamic Republic of",Hashtrūd
Payam Noor University Isfahan,"Iran, Islamic Republic of",Isfahan
Payam Noor University Kerman,"Iran, Islamic Republic of",Kerman
Payam Noor University Khaf,"Iran, Islamic Republic of",Khaf
Payam Noor University Malekan,"Iran, Islamic Republic of",Malekān
Payam Noor University Mashhad,"Iran, Islamic Republic of",Mashhad
Payam Noor University Qazvin,"Iran, Islamic Republic of",Qazvin
Payam Noor University Qom,"Iran, Islamic Republic of",Qom
Payam Noor University Sanandaj,"Iran, Islamic Republic of",Sanandaj
Payam Noor University Shabestar,"Iran, Islamic Republic of",Shabestar
Payam Noor University Shiraz,"Iran, Islamic Republic of",Shiraz
Payam Noor University Sirjan,"Iran, Islamic Republic of",Sirjan
Payam Noor University Tabriz,"Iran, Islamic Republic of",Tabriz
Payame Noor University Maku,"Iran, Islamic Republic of",Maku
Persian Gulf University Bushehr,"Iran, Islamic Republic of",Bushehr
Power & Water University of Technology Tehran,"Iran, Islamic Republic of",Tehran
Qazvin University of Applied Science & Technology,"Iran, Islamic Republic of",Qazvin
Qazvin University of Medical Sciences,"Iran, Islamic Republic of",Qazvin
Qeshm Institute of Higher Education Qeshm & Tehran,"Iran, Islamic Republic of",Tehran
Qom Institute of Higher Education,"Iran, Islamic Republic of",Qom
Qom University of Technology,"Iran, Islamic Republic of",Qom
Rafsanjan University of Medical Sciences,"Iran, Islamic Republic of",Rafsanjān
Ramsar Institute of Higher Education,"Iran, Islamic Republic of",Ramsar
Roshdiyeh Higher Education Institute of Tabriz,"Iran, Islamic Republic of",Tabriz
Sabzevar University of Medical Sciences,"Iran, Islamic Republic of",Sabzevar
Sabzevar University of New Technology,"Iran, Islamic Republic of",Sabzevar
Sahand University of Technology Tabriz,"Iran, Islamic Republic of",Tabriz
Salman Farsi University of Kazerun,"Iran, Islamic Republic of",Kāzerūn
Sama Educational & Cultural Center Bandar Abbas,"Iran, Islamic Republic of",Bandar Abbas
Sama Educational & Cultural Center Shushtar,"Iran, Islamic Republic of",Shūshtar
Sama Technical & Vocational College of Tehran,"Iran, Islamic Republic of",Tehran
Sari Institute of Higher Education,"Iran, Islamic Republic of",Sari
Shahid Chamran University of Ahvaz,"Iran, Islamic Republic of",Ahvaz
Shahrekord University,"Iran, Islamic Republic of",Shahrekord
Shahrekord University of Medical Sciences,"Iran, Islamic Republic of",Shahrekord
Shahreza Higher Education Center,"Iran, Islamic Republic of",Shahreza
Shiraz Art Institute Honar,"Iran, Islamic Republic of",Shiraz
Shiraz Art University,"Iran, Islamic Republic of",Shiraz
Shiraz University of Applied Science & Technology,"Iran, Islamic Republic of",Shiraz
Shiraz University Of Technology,"Iran, Islamic Republic of",Shiraz
Shomal University Amol,"Iran, Islamic Republic of",Āmol
Shushtar School of Medical Sciences,"Iran, Islamic Republic of",Shūshtar
Sirjan University of Medical Sciences,"Iran, Islamic Republic of",Sirjan
Tabriz College of Technology,"Iran, Islamic Republic of",Tabriz
Tabriz Islamic Arts University,"Iran, Islamic Republic of",Tabriz
Tafresh University,"Iran, Islamic Republic of",Tafresh
Tehran Non profit Institute of Higher Education,"Iran, Islamic Republic of",Tehran
Torbat Jam Faculty of Medical Sciences,"Iran, Islamic Republic of",Torbat-e Jām
University of Aleshtar,"Iran, Islamic Republic of",Aleshtar
University of Applied Science & Technology Unit 14 Tehran,"Iran, Islamic Republic of",Tehran
University of Environment Tehran,"Iran, Islamic Republic of",Tehran
University of Garmsar,"Iran, Islamic Republic of",Garmsār
University Of Isfahan,"Iran, Islamic Republic of",Isfahan
University of Islamic Sciences Qom,"Iran, Islamic Republic of",Qom
University of Jahrom,"Iran, Islamic Republic of",Jahrom
University of Jiroft,"Iran, Islamic Republic of",Jīroft
University of Judicial Sciences & Administrative Services Tehran,"Iran, Islamic Republic of",Tehran
University Of Kashan,"Iran, Islamic Republic of",Kāshān
University of Kurdistan Sanandaj,"Iran, Islamic Republic of",Sanandaj
University of Lorestan Khorramabad,"Iran, Islamic Republic of",Khorramabad
University of Malayer,"Iran, Islamic Republic of",Malāyer
University of Mazandaran Babolsar,"Iran, Islamic Republic of",Bābolsar
University of Science & Technology in Golbahar,"Iran, Islamic Republic of",Golbahar
University of Torbat Heydarieh,"Iran, Islamic Republic of",Torbat-e Ḩeydarīyeh
Urmia Graduate Institute,"Iran, Islamic Republic of",Urmia
Urmia Institute of Science & Technology,"Iran, Islamic Republic of",Urmia
Urmia University,"Iran, Islamic Republic of",Urmia
Urmia University of Medical Sciences,"Iran, Islamic Republic of",Urmia
Urmia University of Technology,"Iran, Islamic Republic of",Urmia
Vocational School Boys Branch Dezful,"Iran, Islamic Republic of",Dezful
Yasuj University of Medical Sciences,"Iran, Islamic Republic of",Yasuj
Zabol University of Medical Sciences,"Iran, Islamic Republic of",Zābol
Reykjavik College of Music,Iceland,Reykjavík
Academy of Fine Arts of Bari,Italy,Bari
Academy of Fine Arts of Catania,Italy,Catania
Academy of Fine Arts of Catanzaro,Italy,Catanzaro
Academy of Fine Arts of Florence,Italy,Florence
Academy of Fine Arts of Foggia,Italy,Foggia
Academy of Fine Arts of Frosinone,Italy,Frosinone
Academy of Fine Arts of L'Aquila,Italy,L'Aquila
Academy of Fine Arts of Lecce,Italy,Lecce
Academy of Fine Arts of Macerata,Italy,Macerata
Academy of Fine Arts of Milan ACME,Italy,Milan
Academy of Fine Arts of Naples,Italy,Naples
Academy of Fine Arts of Novara ACME,Italy,Novara
Academy of Fine Arts of Palermo,Italy,Palermo
Academy of Fine Arts of Rome,Italy,Rome
Academy of Fine Arts of Sanremo I Duncan Institute,Italy,San Remo
Academy of Fine Arts of Syracuse Rosario Gagliardi,Italy,Rosario
Academy of Fine Arts of Urbino,Italy,Urbino
Academy of Fine Arts of Venice,Italy,Venice
Academy of Fine Arts Ravenna,Italy,Ravenna
Academy of Fine Arts Reggio Calabria,Italy,Reggio Calabria
Academy of Fine Arts Santagiulia Brescia,Italy,Brescia
Academy of Fine Lorenzo from Viterbo,Italy,Viterbo
Albertina Academy of Fine Arts in Turin,Italy,Turin
Antonio Buzzolla Conservatory of Music of Adria,Italy,Adria
Arrigo Pedrollo Conservatory of Music of Vicenza,Italy,Vicenza
Benedetto Marcello Conservatory of Music Venice,Italy,Venice
Cagliari State Conservatory of Music,Italy,Cagliari
Carrara Academy of Fine Arts,Italy,Carrara
Catania High School,Italy,Catania
Claudio Monteverdi Conservatory of Bolzano,Italy,Bolzano
Claudio Monteverdi Higher Institute of Musical Studies of Cremona,Italy,Cremona
Conservatory in Brescia Luca Marenzio,Italy,Brescia
Conservatory in Casella l'Aquila,Italy,L'Aquila
Conservatory in Vivaldi Alessandria,Italy,Alessandria
Conservatory of Avellino Domenico Cimarosa,Italy,Avellino
Conservatory of Benevento Nicola Sala,Italy,Sala
Conservatory of Bologna Giovanni Battista Martini,Italy,Bologna
Conservatory of Castelfranco Veneto Agostino Steffani,Italy,Castelfranco Veneto
Conservatory of Cesena Bruno Maderna,Italy,Cesena
Conservatory of Frosinone Licinio Refice,Italy,Frosinone
Conservatory of La Spezia Giacomo Puccini,Italy,La Spezia
Conservatory of Matera Egidio R Duni,Italy,Matera
Conservatory of Music Arcangelo Corelli Messina,Italy,Messina
Conservatory of Music F Torrefranca Vibo Valentia,Italy,Vibo Valentia
Conservatory of Music L Perosi Campobasso,Italy,Campobasso
Conservatory of Music of Perugia,Italy,Perugia
Conservatory of Music Stanislao Giacomantonio Cosenza,Italy,Cosenza
Conservatory of Reggio Calabria Francesco Cilea,Italy,Reggio Calabria
Conservatory of Salerno G Martucci,Italy,Salerno
Conservatory of Trapani Antonio Scontrino,Italy,Trapani
Cuneo Academy of Fine Arts,Italy,Cuneo
Dutch Institute for Art History Florence,Italy,Florence
European College Foundation of Parma,Italy,Parma
European University of Rome,Italy,Rome
Evaristo Felice Dall'Abaco Conservatory of Music Verona,Italy,Verona
Florence Institute of Design International,Italy,Florence
Free Academy of Fine Arts of Florence,Italy,Florence
Free University of Bolzano,Italy,Bolzano
G Paisiello Musical Institute Taranto,Italy,Taranto
G Verdi State Conservatory of Music Turin,Italy,Turin
Gaetano Donizetti Higher Institute of Musical Studies of Bergamo,Italy,Bergamo
GB Cignaroli Academy of Fine Arts in Verona,Italy,Verona
GB Pergolesi Conservatory of Music in Fermo,Italy,Fermo
Gesualdo da Venosa Conservatory of Potenza,Italy,Potenza
Gioacchino Rossini Conservatory of Music Pesaro,Italy,Pesaro
Giovanni Battista Pergolesi Musical Institute Ancona,Italy,Ancona
Girolamo Frescobaldi Conservatory of Ferrara,Italy,Ferrara
Giuseppe Nicolini Conservatory of Piacenza,Italy,Piacenza
Giuseppe Tartini Conservatory of Music of Trieste,Italy,Trieste
Giuseppe Verdi Conservatory of Music of Como,Italy,Como
High School for Linguistic Mediators of Vicenza,Italy,Vicenza
High School for Linguistic Mediators Perugia,Italy,Perugia
High School for Linguistic Mediators Reggio Calabria,Italy,Reggio Calabria
Higher Institute for Artistic Industries of Faenza,Italy,Faenza
Higher Institute for Artistic Industries of Rome,Italy,Rome
Higher Institute for Artistic Industries of Urbino,Italy,Urbino
Higher Institute of Architecture & Design ISAD Milan,Italy,Milan
Higher Institute of Musical Studies of Aosta in the Aosta Valley,Italy,Aosta
Higher Institute of Musical Studies of Caltanissetta Vincenzo Bellini,Italy,Caltanissetta
Higher Institute of Musical Studies of Gallarate Giacomo Puccini,Italy,Gallarate
Higher Institute of Musical Studies of Nocera Terinese PI Tchaikovsky,Italy,Nocera Terinese
Higher Institute of Musical Studies of Pavia Franco Vittadini,Italy,Pavia
Higher Institute of Musical Studies of Ravenna Giuseppe Verdi,Italy,Ravenna
Higher Institute of Musical Studies of Rimini G Lettimi,Italy,Rimini
Higher Institute of Musical Studies of Terni Giulio Briccialdi,Italy,Terni
Higher School of Linguistic Mediators of Vicenza,Italy,Vicenza
Institute of Applied Art & Design Turin,Italy,Turin
ISIA Higher Institute for Artistic Industries in Pescara,Italy,Pescara
Italian Institute of Human Sciences of Florence,Italy,Florence
IUAV University of Venice,Italy,Venice
IUSS High School University Institute of Higher Studies of Pavia,Italy,Pavia
J Tomadini State Conservatory of Music Udine,Italy,Udine
Kandinsky Academy of Fine Arts of Trapani,Italy,Trapani
Ligustic Academy of Fine Arts of Turin,Italy,Turin
Luigi Boccherini Higher Institute of Musical Studies of Lucca,Italy,Lucca
Luigi Bocconi Commercial University of Milan,Italy,Milan
Luigi Canepa Conservatory of Sassari,Italy,Sassari
Luigi Cherubini Conservatory of Florence,Italy,Florence
Luisa d'Anunzio Conservatory of Music Pescara,Italy,Pescara
Maddaloni High School for Linguistic Mediators,Italy,Maddaloni
Mario Sironi Academy of Fine Arts Sassari,Italy,Sassari
Niccolo Cusano University,Italy,Cusano
Niccolo Piccinni Conservatory of Music Bari,Italy,Bari
Nicola Paganini Conservatory of Music Genoa,Italy,Genoa
Nino Rota Monopoli Conservatory of Music,Italy,Monopoli
Palermo High School for Linguistic Mediators,Italy,Palermo
Perugia High School of Linguistic Mediators,Italy,Perugia
Pietro Mascagni Higher Institute of Musical Studies Livorno,Italy,Livorno
Pietro Mascagni Musical Institute Livorno,Italy,Livorno
Pietro Vannucci Academy of Fine Arts of Perugia,Italy,Perugia
Polytechnic of Turin,Italy,Turin
Polytechnic University Of Bari,Italy,Bari
Popular University of Milan,Italy,Milan
Rinaldo Franci Higher Institute of Musical Studies of Siena,Italy,Siena
Rome Business School,Italy,Rome
Rome University of Fine Arts,Italy,Rome
Sabina University,Italy,Sabina
San Pietro A Majella Conservatory of Music,Italy,San Pietro
San Raffaele Telematic University of Rome,Italy,Rome
Sant'Anna Higher School of University Studies & Specialization,Italy,Sant'Anna
School for foreigners of Italian language & culture in Alghero,Italy,Alghero
Scuola Normale Superiore Di Pisa,Italy,Pisa
Second University of Naples,Italy,Naples
State Conservatory of Music F Venezze Rovigo,Italy,Rovigo
State Conservatory of Music Francesco Antonio Bonporti of Trento & Riva del Garda,Italy,Riva del Garda
Telematic University Italian University Line Florence,Italy,Florence
Tito Schipa Conservatory of Music Lecce,Italy,Lecce
Umberto Giordano Conservatory of Foggia,Italy,Foggia
University for Foreigners of Perugia,Italy,Perugia
University for Foreigners of Reggio Calabria Dante Alighieri,Italy,Reggio Calabria
University for Foreigners of Siena,Italy,Siena
University Institute for Interpreters & Translators of Trento,Italy,Trento
University of Bari Aldo Moro,Italy,Moro
University Of Bergamo,Italy,Bergamo
University of Bologna,Italy,Bologna
University Of Brescia,Italy,Brescia
University Of Cagliari,Italy,Cagliari
University of Enna Kore,Italy,Enna
University Of Ferrara,Italy,Ferrara
University of International Studies of Rome,Italy,Rome
University of Macerata,Italy,Macerata
University of Milan Bicocca,Italy,Milan
University Of Molise,Italy,Molise
University of Palermo,Italy,Palermo
University Of Pavia,Italy,Pavia
University of Rome La Sapienza,Italy,Rome
University of Siena,Italy,Siena
University Of Udine,Italy,Udine
Varese High School for Linguistic Mediators,Italy,Varese
Vincenzo Bellini Conservatory of Palermo,Italy,Palermo
Vittoria High School for Linguistic Mediators,Italy,Vittoria
Catholic College of Mandeville Jamaica,Jamaica,Mandeville
University of Petra,Jordan,Petra
Zarqa University,Jordan,Zarqa
Aichi Konan College,Japan,Kōnan
Aichi Mizuho College,Japan,Mizuho
Akashi National College of Technology,Japan,Akashi
Akita National College of Technology,Japan,Akita
Akita Prefectural University,Japan,Akita
Akita University of Art,Japan,Akita
Akita University of Nursing & Welfare,Japan,Akita
Anan National College of Technology,Japan,Anan
Aomori University,Japan,Aomori
Asahi Gakuen,Japan,Asahi
Asahi University,Japan,Asahi
Asahikawa Medical University,Japan,Asahikawa
Asahikawa National College of Technology,Japan,Asahikawa
Asahikawa University,Japan,Asahikawa
Ashiya University,Japan,Ashiya
Beppu Mizobe Gakuen College,Japan,Beppu
Butsuryo College of Osaka,Japan,Osaka
Chiba Institute of Technology,Japan,Chiba
Chiba Meitoku College,Japan,Chiba
Chiba University,Japan,Chiba
Fuji University,Japan,Fuji
Fukuoka Prefectural University,Japan,Fukuoka
Fukuoka Women's Junior College,Japan,Fukuoka
Fukushima College,Japan,Fukushima
Fukushima National College of Technology,Japan,Fukushima
Fukushima University,Japan,Fukushima
Fukuyama City University,Japan,Fukuyama
Fukuyama Heisei University,Japan,Fukuyama
Fukuyama University,Japan,Fukuyama
Hachinohe Institute of Technology,Japan,Hachinohe
Hachinohe National College of Technology,Japan,Hachinohe
hakodate National College of Technology,Japan,Hakodate
Hakodate Otani College,Japan,Hakodate
Hakodate University,Japan,Hakodate
Himeji Dokkyo University,Japan,Himeji
Himeji Hinomoto College,Japan,Himeji
Himeji University,Japan,Himeji
Hirosaki Gakuin University,Japan,Hirosaki
Hirosaki University,Japan,Hirosaki
Hirosaki University of Health & Welfare,Japan,Hirosaki
Hiroshima City University,Japan,Hiroshima
Hiroshima International University,Japan,Hiroshima
Hiroshima National College of Maritime Technology,Japan,Hiroshima
Hiroshima Shudo University,Japan,Hiroshima
Ibaraki National College of Technology,Japan,Ibaraki
Ibaraki University,Japan,Ibaraki
Ichinoseki National College of Technology,Japan,Ichinoseki
Iida Women's Junior College,Japan,Iida
Institute Of Science Tokyo,Japan,Tokyo
Ishikawa National College of Technology,Japan,Ishikawa
Ishikawa Prefectural University,Japan,Ishikawa
Iwaki Meisei University,Japan,Iwaki
Iwakuni Junior College,Japan,Iwakuni
Izumi Junior College,Japan,Izumi
Kagoshima National College of Technology,Japan,Kagoshima
Kagoshima Prefectural College,Japan,Kagoshima
Kamakura Women's College,Japan,Kamakura
Kanazawa College of Art,Japan,Kanazawa
Kanazawa Gakuin University,Japan,Kanazawa
Kanazawa Medical University,Japan,Kanazawa
Kanazawa Seiryo University,Japan,Kanazawa
Kanazawa Technical College,Japan,Kanazawa
Kanazawa University,Japan,Kanazawa
Kawaguchi Junior College,Japan,Kawaguchi
Kawasaki City College of Nursing,Japan,Kawasaki
Kawasaki University of Medical Welfare Kawasaki Medical School,Japan,Kawasaki
Kiryu University,Japan,Kiryū
Kisarazu National College of Technology,Japan,Kisarazu
Kitakyushu National College of Technology,Japan,Kitakyushu
Kitakyushu University,Japan,Kitakyushu
Kitami Institute of Technology,Japan,Kitami
Kobe City College of Nursing,Japan,Kobe
Kobe City College of Technology,Japan,Kobe
Kobe City University of Foreign Studies,Japan,Kobe
Kobe College,Japan,Kobe
Kobe Design University,Japan,Kobe
Kobe International University,Japan,Kobe
Kobe Shinwa Women's University,Japan,Kobe
Kobe Shukugawa Gakuin University,Japan,Kobe
Kobe Women's University,Japan,Kobe
Kobe Yamate University,Japan,Kobe
Kochi Gakuen College,Japan,Kochi
Kochi University of Technology,Japan,Kochi
Komatsu University,Japan,Komatsu
Konan Women's University,Japan,Kōnan
Korea University Tokyo,Japan,Tokyo
Koriyama Women's University & College,Japan,Kōriyama
Kumamoto National College of Technology,Japan,Kumamoto
Kurashiki City College,Japan,Kurashiki
Kure National College of Technology,Japan,Kure
Kurume Institute of Technology,Japan,Kurume
Kurume National College of Technology,Japan,Kurume
Kushiro National College of Technology,Japan,Kushiro
Kushiro Public University of Economics,Japan,Kushiro
Kyoto College of Arts & Crafts,Japan,Kyoto
Kyoto College of Economics,Japan,Kyoto
Kyoto College of Medical Science,Japan,Kyoto
Kyoto Culinary College,Japan,Kyoto
Kyoto International University,Japan,Kyoto
Kyoto Kacho University,Japan,Kyoto
Kyoto Pharmaceutical University,Japan,Kyoto
Kyoto Prefectural University Of Medicine,Japan,Kyoto
Kyoto Saga University of Arts,Japan,Kyoto
Kyoto Sangyo University,Japan,Kyoto
Kyoto Seika University,Japan,Kyoto
Kyoto Seizan College,Japan,Kyoto
Kyoto Tachibana Women's University,Japan,Kyoto
Kyoto University of Art & Design,Japan,Kyoto
Kyoto University Of Education,Japan,Kyoto
Kyoto Women's University,Japan,Kyoto
Maebashi Institute of Technology,Japan,Maebashi
Maizuru National College of Technology,Japan,Maizuru
Matsue College of Technology,Japan,Matsue
Matsumoto Junior College,Japan,Matsumoto
Matsumoto University,Japan,Matsumoto
Matsuyama University,Japan,Matsuyama
Miyakonojo National College of Technology,Japan,Miyakonojō
Miyakonojo University Hospital School of Nursing,Japan,Miyakonojō
Miyazaki Municipal University,Japan,Miyazaki
Morioka University,Japan,Morioka
Muroran Institute of Technology,Japan,Muroran
Musashino Academia Musicae,Japan,Musashino
Musashino University,Japan,Musashino
Nagano College of Nursing,Japan,Nagano
Nagano National College of Technology,Japan,Nagano
Nagaoka Institute of Design,Japan,Nagaoka
Nagaoka National College of Technology,Japan,Nagaoka
Nagasaki Institute Of Applied Science,Japan,Nagasaki
Nagasaki Junior College,Japan,Nagasaki
Nagasaki University,Japan,Nagasaki
Nagasaki University of Foreign Studies,Japan,Nagasaki
Nagoya Bunri University,Japan,Nagoya
Nagoya City University,Japan,Nagoya
Nagoya College,Japan,Nagoya
Nagoya College of Science & Work,Japan,Nagoya
Nagoya Keizai University,Japan,Nagoya
Nagoya NSC College,Japan,Nagoya
Nagoya Sangyo University,Japan,Nagoya
Nagoya Women's University,Japan,Nagoya
Naka Kyushu Junior College,Japan,Naka
Nakamura Gakuen University,Japan,Nakamura
Naruto University of Education,Japan,Narutō
National Institute of Fitness & Sports in Kanoya,Japan,Kanoya
National Institute of Technology Kochi College,Japan,Kochi
Niigata College of Nursing,Japan,Niigata
Niigata College of Technology,Japan,Niigata
Niigata Institute of Science & Technology,Japan,Niigata
Niigata Seiryo University,Japan,Niigata
Niigata University Graduate School of Rehabilitation,Japan,Niigata
Niihama National College of Technology,Japan,Niihama
Niimi University,Japan,Niimi
Numazu National College of Technology,Japan,Numazu
Obihiro Otani Junior College,Japan,Obihiro
Odawara Women's Junior College,Japan,Odawara
Ogaki Women's College,Japan,Ōgaki
Oita National College of Technology,Japan,Ōita
Oita University,Japan,Ōita
Oita University of Nursing & Health Sciences,Japan,Ōita
Okayama Gakuin University,Japan,Okayama
Okayama Prefectural University,Japan,Okayama
Okazaki Women's Junior College,Japan,Okazaki
Okinawa National College of Technology,Japan,Okinawa
Okinawa University,Japan,Okinawa
Omiya Law School,Japan,Ōmiya
Onomichi City University,Japan,Onomichi
Osaka Aoyama University,Japan,Osaka
Osaka Chiyoda Junior College,Japan,Osaka
Osaka Christian College,Japan,Osaka
Osaka City University,Japan,Osaka
Osaka Dental University,Japan,Osaka
Osaka Gakuin University,Japan,Osaka
Osaka Jikei Gakuen University,Japan,Osaka
Osaka Junior College of Social Health & Welfare,Japan,Osaka
Osaka Kawasaki Rehabilitation University,Japan,Kawasaki
Osaka Kunei Women's College,Japan,Osaka
Osaka Kyoiku University,Japan,Osaka
Osaka Ohtani University,Japan,Osaka
Osaka Prefecture University,Japan,Osaka
Osaka Sangyo University,Japan,Osaka
Osaka Seikei University,Japan,Osaka
Osaka Shin Ai College,Japan,Osaka
Osaka Shoin Women's College,Japan,Osaka
Osaka University of Arts,Japan,Osaka
Osaka University of Comprehensive Children Education,Japan,Osaka
Osaka Women's Junior College,Japan,Osaka
Osaka Yukioka College of Health Science,Japan,Osaka
Otaru University of Commerce,Japan,Otaru
Oyama National College of Technology,Japan,Oyama
Prefectural University of Hiroshima,Japan,Hiroshima
Prefectural University of Kumamoto,Japan,Kumamoto
Saitama Junshin Junior College,Japan,Saitama
Saitama Toho Junior College,Japan,Saitama
Saitama University,Japan,Saitama
Saitama Women's Junior College,Japan,Saitama
Sakai Women's Junior College,Japan,Sakai
Saku University,Japan,Saku
Sano College,Japan,Sano
Sapporo City University,Japan,Sapporo
Sapporo Medical University,Japan,Sapporo
Sapporo Otani University,Japan,Sapporo
Sapporo University,Japan,Sapporo
Sapporo University Hospital School of Nursing,Japan,Sapporo
Sasebo National College of Technology,Japan,Sasebo
Sendai National College of Technology,Japan,Sendai
Sendai Shirayuri Women's College,Japan,Sendai
Shibata Gakuen University,Japan,Shibata
Shimonoseki City University,Japan,Shimonoseki
Shimonoseki Junior College,Japan,Shimonoseki
St Mary’s College Nagoya,Japan,Nagoya
Suzuka National College of Technology,Japan,Suzuka
Suzuka University,Japan,Suzuka
Suzuka University of Medical Science,Japan,Suzuka
Takamatsu University & Junior College,Japan,Takamatsu
Takarazuka University,Japan,Takarazuka
Takarazuka University of Medical & Health Care,Japan,Takarazuka
Takasaki University of Health & Welfare,Japan,Takasaki
Takayama College of Car Technology,Japan,Takayama
Toba National College of Maritime Technology,Japan,Toba
Tokushima Bunri University,Japan,Tokushima
Tokushima College of Technology,Japan,Tokushima
Tokuyama College of Technology,Japan,Tokuyama
Tokuyama University,Japan,Tokuyama
Tokyo Bunka Junior College,Japan,Tokyo
Tokyo College of Music,Japan,Tokyo
Tokyo College of Transport Studies,Japan,Tokyo
Tokyo Institute of Polytechnics,Japan,Tokyo
Tokyo International Business College,Japan,Tokyo
Tokyo Jogakkan College,Japan,Tokyo
Tokyo Junshin Women's College,Japan,Tokyo
Tokyo Kasei Gakuin University,Japan,Tokyo
